Episode=1, Total reward=11.04, Steps=68, Training iteration=0
Episode=2, Total reward=11.25, Steps=139, Training iteration=0
Episode=3, Total reward=9.44, Steps=208, Training iteration=0
Episode=4, Total reward=5.73, Steps=244, Training iteration=0
Episode=5, Total reward=3.16, Steps=269, Training iteration=0
Episode=6, Total reward=3.41, Steps=298, Training iteration=0
Episode=7, Total reward=3.68, Steps=325, Training iteration=0
Episode=8, Total reward=5.59, Steps=364, Training iteration=0
Episode=9, Total reward=4.21, Steps=396, Training iteration=0
Episode=10, Total reward=3.93, Steps=426, Training iteration=0
Episode=11, Total reward=7.8, Steps=476, Training iteration=0
Episode=12, Total reward=6.72, Steps=521, Training iteration=0
Episode=13, Total reward=11.19, Steps=587, Training iteration=0
Episode=14, Total reward=5.39, Steps=619, Training iteration=0
Episode=15, Total reward=4.26, Steps=650, Training iteration=0
Episode=16, Total reward=15.78, Steps=734, Training iteration=0
Episode=17, Total reward=12.02, Steps=796, Training iteration=0
Episode=18, Total reward=5.7, Steps=829, Training iteration=0
Episode=19, Total reward=3.68, Steps=855, Training iteration=0
Episode=20, Total reward=23.04, Steps=969, Training iteration=0
Episode=21, Total reward=7.21, Steps=1019, Training iteration=0
Episode=22, Total reward=7.9, Steps=1071, Training iteration=0
Episode=23, Total reward=4.82, Steps=1107, Training iteration=0
Episode=24, Total reward=7.08, Steps=1149, Training iteration=0
Episode=25, Total reward=4.87, Steps=1185, Training iteration=0
Episode=26, Total reward=3.46, Steps=1210, Training iteration=0
Episode=27, Total reward=3.71, Steps=1238, Training iteration=0
Episode=28, Total reward=5.1, Steps=1278, Training iteration=0
Episode=29, Total reward=9.2, Steps=1329, Training iteration=0
Episode=30, Total reward=2.93, Steps=1357, Training iteration=0
Episode=31, Total reward=8.04, Steps=1411, Training iteration=0
Episode=32, Total reward=3.32, Steps=1438, Training iteration=0
Episode=33, Total reward=8.64, Steps=1489, Training iteration=0
Episode=34, Total reward=6.32, Steps=1528, Training iteration=0
Episode=35, Total reward=4.74, Steps=1565, Training iteration=0
Episode=36, Total reward=7.82, Steps=1617, Training iteration=0
Episode=37, Total reward=12.49, Steps=1681, Training iteration=0
Episode=38, Total reward=5.75, Steps=1715, Training iteration=0
Episode=39, Total reward=3.37, Steps=1742, Training iteration=0
Episode=40, Total reward=6.52, Steps=1783, Training iteration=0
Episode=41, Total reward=13.3, Steps=1855, Training iteration=0
Episode=42, Total reward=16.7, Steps=1944, Training iteration=0
Episode=43, Total reward=3.7, Steps=1974, Training iteration=0
Episode=44, Total reward=8.37, Steps=2023, Training iteration=0
Episode=45, Total reward=4.19, Steps=2054, Training iteration=0
Episode=46, Total reward=4.21, Steps=2081, Training iteration=0
Episode=47, Total reward=4.33, Steps=2111, Training iteration=0
Episode=48, Total reward=8.61, Steps=2167, Training iteration=0
Episode=49, Total reward=9.33, Steps=2220, Training iteration=0
Episode=50, Total reward=4.85, Steps=2251, Training iteration=0
Episode=51, Total reward=14.91, Steps=2328, Training iteration=0
Episode=52, Total reward=5.62, Steps=2369, Training iteration=0
Episode=53, Total reward=9.25, Steps=2421, Training iteration=0
Episode=54, Total reward=6.0, Steps=2459, Training iteration=0
Episode=55, Total reward=5.39, Steps=2499, Training iteration=0
Episode=56, Total reward=17.83, Steps=2586, Training iteration=0
Episode=57, Total reward=11.21, Steps=2646, Training iteration=0
Episode=58, Total reward=6.15, Steps=2684, Training iteration=0
Episode=59, Total reward=3.68, Steps=2709, Training iteration=0
Episode=60, Total reward=13.88, Steps=2780, Training iteration=0
Episode=61, Total reward=28.64, Steps=2897, Training iteration=0
Episode=62, Total reward=6.46, Steps=2937, Training iteration=0
Episode=63, Total reward=15.52, Steps=3013, Training iteration=0
Episode=64, Total reward=4.64, Steps=3043, Training iteration=0
Episode=65, Total reward=6.61, Steps=3086, Training iteration=0
Episode=66, Total reward=7.76, Steps=3129, Training iteration=0
Episode=67, Total reward=4.37, Steps=3163, Training iteration=0
Episode=68, Total reward=11.05, Steps=3216, Training iteration=0
Episode=69, Total reward=8.74, Steps=3268, Training iteration=0
Episode=70, Total reward=17.73, Steps=3382, Training iteration=0
Episode=71, Total reward=16.76, Steps=3474, Training iteration=0
Episode=72, Total reward=7.41, Steps=3512, Training iteration=0
Episode=73, Total reward=6.38, Steps=3553, Training iteration=0
Episode=74, Total reward=6.75, Steps=3595, Training iteration=0
Episode=75, Total reward=6.04, Steps=3624, Training iteration=0
Episode=76, Total reward=14.75, Steps=3700, Training iteration=0
Episode=77, Total reward=12.63, Steps=3763, Training iteration=0
Episode=78, Total reward=6.75, Steps=3801, Training iteration=0
Episode=79, Total reward=3.46, Steps=3829, Training iteration=0
Episode=80, Total reward=8.05, Steps=3873, Training iteration=0
Episode=81, Total reward=31.82, Steps=4002, Training iteration=0
Episode=82, Total reward=18.57, Steps=4087, Training iteration=0
Episode=83, Total reward=11.55, Steps=4152, Training iteration=0
Episode=84, Total reward=10.64, Steps=4207, Training iteration=0
Episode=85, Total reward=3.91, Steps=4232, Training iteration=0
Episode=86, Total reward=7.17, Steps=4274, Training iteration=0
Episode=87, Total reward=6.15, Steps=4308, Training iteration=0
Episode=88, Total reward=36.6, Steps=4476, Training iteration=0
Episode=89, Total reward=5.98, Steps=4513, Training iteration=0
Episode=90, Total reward=3.68, Steps=4540, Training iteration=0
Episode=91, Total reward=13.29, Steps=4604, Training iteration=0
Episode=92, Total reward=21.23, Steps=4695, Training iteration=0
Episode=93, Total reward=14.08, Steps=4758, Training iteration=0
Episode=94, Total reward=8.89, Steps=4805, Training iteration=0
Episode=95, Total reward=3.68, Steps=4829, Training iteration=0
Episode=96, Total reward=18.42, Steps=4913, Training iteration=0
Episode=97, Total reward=13.62, Steps=4977, Training iteration=0
Episode=98, Total reward=7.06, Steps=5019, Training iteration=0
Episode=99, Total reward=3.21, Steps=5043, Training iteration=0
Episode=100, Total reward=33.88, Steps=5181, Training iteration=0
Episode=101, Total reward=30.32, Steps=5303, Training iteration=0
Episode=102, Total reward=21.02, Steps=5417, Training iteration=0
Episode=103, Total reward=18.59, Steps=5504, Training iteration=0
Episode=104, Total reward=10.74, Steps=5556, Training iteration=0
Episode=105, Total reward=5.21, Steps=5586, Training iteration=0
Episode=106, Total reward=3.68, Steps=5612, Training iteration=0
Episode=107, Total reward=4.53, Steps=5643, Training iteration=0
Episode=108, Total reward=38.24, Steps=5811, Training iteration=0
Episode=109, Total reward=7.79, Steps=5853, Training iteration=0
Episode=110, Total reward=21.71, Steps=5952, Training iteration=0
Episode=111, Total reward=21.94, Steps=6057, Training iteration=0
Episode=112, Total reward=5.96, Steps=6100, Training iteration=0
Episode=113, Total reward=16.17, Steps=6177, Training iteration=0
Episode=114, Total reward=6.92, Steps=6214, Training iteration=0
Episode=115, Total reward=18.83, Steps=6332, Training iteration=0
Episode=116, Total reward=17.41, Steps=6414, Training iteration=0
Episode=117, Total reward=14.51, Steps=6481, Training iteration=0
Episode=118, Total reward=9.98, Steps=6528, Training iteration=0
Episode=119, Total reward=5.99, Steps=6564, Training iteration=0
Episode=120, Total reward=36.27, Steps=6712, Training iteration=0
Episode=121, Total reward=25.92, Steps=6832, Training iteration=0
Episode=122, Total reward=20.27, Steps=6927, Training iteration=0
Episode=123, Total reward=18.55, Steps=7016, Training iteration=0
Episode=124, Total reward=9.95, Steps=7070, Training iteration=0
Episode=125, Total reward=4.03, Steps=7101, Training iteration=0
Episode=126, Total reward=3.82, Steps=7126, Training iteration=0
Episode=127, Total reward=8.88, Steps=7170, Training iteration=0
Episode=128, Total reward=32.95, Steps=7329, Training iteration=0
Episode=129, Total reward=9.77, Steps=7384, Training iteration=0
Episode=130, Total reward=27.36, Steps=7511, Training iteration=0
Episode=131, Total reward=18.17, Steps=7616, Training iteration=0
Episode=132, Total reward=20.81, Steps=7718, Training iteration=0
Episode=133, Total reward=17.71, Steps=7795, Training iteration=0
Episode=134, Total reward=8.75, Steps=7841, Training iteration=0
Episode=135, Total reward=6.1, Steps=7881, Training iteration=0
Episode=136, Total reward=64.66, Steps=8108, Training iteration=0
Episode=137, Total reward=15.74, Steps=8183, Training iteration=0
Episode=138, Total reward=11.66, Steps=8248, Training iteration=0
Episode=139, Total reward=5.45, Steps=8281, Training iteration=0
Episode=140, Total reward=38.41, Steps=8428, Training iteration=0
Episode=141, Total reward=7.04, Steps=8482, Training iteration=0
Episode=142, Total reward=19.92, Steps=8588, Training iteration=0
Episode=143, Total reward=19.42, Steps=8679, Training iteration=0
Episode=144, Total reward=17.27, Steps=8762, Training iteration=0
Episode=145, Total reward=6.96, Steps=8800, Training iteration=0
Episode=146, Total reward=10.96, Steps=8853, Training iteration=0
Episode=147, Total reward=5.98, Steps=8889, Training iteration=0
Episode=148, Total reward=42.13, Steps=9058, Training iteration=0
Episode=149, Total reward=40.64, Steps=9229, Training iteration=0
Episode=150, Total reward=33.5, Steps=9360, Training iteration=0
Episode=151, Total reward=26.76, Steps=9474, Training iteration=0
Episode=152, Total reward=20.3, Steps=9567, Training iteration=0
Episode=153, Total reward=18.99, Steps=9656, Training iteration=0
Episode=154, Total reward=69.93, Steps=9936, Training iteration=0
Episode=155, Total reward=6.07, Steps=9970, Training iteration=0
Episode=156, Total reward=29.15, Steps=10104, Training iteration=0
Episode=157, Total reward=51.55, Steps=10301, Training iteration=0
Episode=158, Total reward=16.45, Steps=10390, Training iteration=0
Episode=159, Total reward=39.16, Steps=10561, Training iteration=0
Episode=160, Total reward=42.87, Steps=10725, Training iteration=0
Episode=161, Total reward=31.88, Steps=10850, Training iteration=0
Episode=162, Total reward=32.06, Steps=10981, Training iteration=0
