Episode=108, Total reward=87.27, Steps=6996, Training iteration=0
Episode=109, Total reward=105.83, Steps=7145, Training iteration=0
Episode=110, Total reward=109.25, Steps=7281, Training iteration=0
Episode=111, Total reward=77.72, Steps=7378, Training iteration=0
Episode=112, Total reward=75.7, Steps=7474, Training iteration=0
Episode=113, Total reward=54.88, Steps=7545, Training iteration=0
Episode=114, Total reward=33.32, Steps=7591, Training iteration=0
Episode=115, Total reward=80.32, Steps=7692, Training iteration=0
Episode=116, Total reward=208.11, Steps=7914, Training iteration=0
Episode=117, Total reward=49.62, Steps=7980, Training iteration=0
Episode=118, Total reward=30.71, Steps=8024, Training iteration=0
Episode=119, Total reward=21.09, Steps=8063, Training iteration=0
Episode=120, Total reward=88.68, Steps=8192, Training iteration=0
Episode=121, Total reward=97.87, Steps=8309, Training iteration=0
Episode=122, Total reward=101.96, Steps=8431, Training iteration=0
Episode=123, Total reward=65.38, Steps=8519, Training iteration=0
Episode=124, Total reward=62.39, Steps=8601, Training iteration=0
Episode=125, Total reward=35.12, Steps=8657, Training iteration=0
Episode=126, Total reward=21.84, Steps=8701, Training iteration=0
Episode=127, Total reward=165.47, Steps=8884, Training iteration=0
Episode=128, Total reward=113.71, Steps=9049, Training iteration=0
Episode=129, Total reward=129.1, Steps=9221, Training iteration=0
Episode=130, Total reward=124.3, Steps=9362, Training iteration=0
Episode=131, Total reward=54.34, Steps=9443, Training iteration=0
Episode=132, Total reward=31.12, Steps=9521, Training iteration=0
Episode=133, Total reward=57.83, Steps=9599, Training iteration=0
Episode=134, Total reward=216.69, Steps=9874, Training iteration=0
Episode=135, Total reward=15.37, Steps=9903, Training iteration=0
Episode=136, Total reward=176.78, Steps=10122, Training iteration=0
Episode=137, Total reward=129.63, Steps=10284, Training iteration=0
Episode=138, Total reward=187.97, Steps=10493, Training iteration=0
Episode=139, Total reward=159.13, Steps=10677, Training iteration=0
Episode=140, Total reward=137.9, Steps=10837, Training iteration=0
Episode=141, Total reward=100.0, Steps=10953, Training iteration=0
Episode=142, Total reward=60.27, Steps=11058, Training iteration=0
Episode=143, Total reward=65.7, Steps=11151, Training iteration=0
